"id","collection","dc.title","dc.description.abstract","dc.identifier.doi","dc.identifier.issn","dc.contributor.author","dc.type","dc.identifier.scopus","dc.date.issued"
"+","123456789/7294","Yield and nutritional status of different maize genotypes in response to rates and splits of mineral fertilization","© 2020 Friends Science Publishers. Efficient fertilizer management in maize production is based on supplying adequate amounts of nutrients for optimum economic yield, while minimizing losses to the environment. Exploiting genotypic differences in fertilizers use is required for achieving nutrient-use efficiency and higher yield. This two-year field study was designed to evaluate the influence of different fertilizer combinations on nitrogen (N), phosphorus (P) and potassium (K) uptake patterns, and yield in novel maize hybrids. Four divergent maize hybrids NS 4023, NS 6010, NS 6030 and NS 640 were grown under eight NPK combinations: 1: P60K60; 2: P60K60 + Nmin spring; 3: P60K60 + N40autumn + Nmin spring; 4: P60K60 + N60spring; 5: P60K60 + N100spring; 6: P60K60 + N40autumn + N60spring + Zn; 7: P60K60 + N40autumn + N80spring + Zn; 8: P60K60 + N160spring + Zn in both years of study. Different NPK combinations significantly improved NPK contents in leaves and grains along with substantial increase in 1000-grain weight, grain yield, grain protein contents and net returns of all tested hybrids; however, hybrids behaved differently in this regard. The highest N content in maize leaves was found in NS 4023 (2.39%), potassium in NS 6030 and NS 6010 (1.73%). Fertilizer combinations with N addition in autumn and spring + Zn, fertilization based on N correction in spring, showed positive effects on N content in grain and leaves; however P contents in leaves were not affected with fertilization systems. Moreover, P and K concentrations in leaves and grains decreased, which may be associated to better efficiency of maize hybrids. The highest yield was obtained with P60K60 + N40 autumn + N60 spring + Zn followed by fertilizer combinations, P60K60 + N40 autumn + N80 spring + Zn and P60K60 + N40 autumn + Nmin spring. The highest net benefit of 2091.6 and 2043.9 $ ha-1 was obtained in treatments: P60K60 + N40 autumn + N60 spring + Zn and P60K60 + N40 autumn + Nmin spring. In conclusion, the amount and timings of nutrients application significantly affect the yield and could help in determination of genotype potential. Moreover, the treatment combination, P60K60 + N40 autumn + N60 spring + Zn harvested maximum maize yield along with highest net benefits and benefit: cost ratio.","10.17957/IJAB/15.1396","15608530","||Dalovic I.||Šeremešić S.::0000-0003-4467-9601::600||Chen Y.::0000-0003-0798-8683::600||Milošev D.||Biberdžić M.::0000-0002-7259-3357::600||Paunović A.","Article","85082859584","2020-01-01"
"+","123456789/7294","Sex-related difference in the prognostic value of syncope for 30-day mortality among hospitalized pulmonary embolism patients","© 2020 John Wiley  &  Sons Ltd Introduction: Recent studies report that syncope is not a significant predictor of 30-day mortality in pulmonary embolism (PE) patients, yet some data suggest sex-related differences may be relevant. Objectives: To evaluate sex-specific prediction significance of syncope for 30-day mortality in PE patients. Methods: A multicentric, retrospective, observational, registry-based study on consecutive PE patients was undertaken. Patients were allocated into either a men or a women group before comparisons were made between patients with syncope and those without syncope. A sex-related prediction of the significance of syncope for 30-day mortality was evaluated. Results: Overall 588 patients [294 (50%) men and 294 (50%) women] were included within the study. Among men, patients with syncope were older and had significantly higher parameters of increased 30-day mortality then patients without syncope. Within the same group, however, difference in the 30-day mortality rate was not significant (log rank P =.942). In contrast to the men, fewer differences in admission characteristics were noticed among women, but those with syncope had significantly increased signs of the right ventricular dysfunction and increased 30-day mortality rate, as compared with those without syncope (log rank P =.025). After adjustment for age in a Cox regression analysis, syncope was a significant predictor of 30-day mortality in women (HR = 2.01, 95%CI 1.02-3.95). Conclusion: Although syncope is associated with other predictors of higher early mortality in both male and female PE patients, only in women it is a significant predictor of 30-day mortality.","10.1111/crj.13179","17526981","||Dzudovic B.||Subotic B.||Novicic N.||Matijasevic J.||Trobok J.||Miric M.||Šalinger-Martinović S.::0000-0001-9657-1665::600||Stanojevic D.||Nikolic M.||Miloradović V.||Markovic-Nikolic N.||Dekleva M.||Lepojevic Stefanovic D.||Kos L.||Kovacevic-Preradovic T.||Obradović S.","Article","85081717019","2020-01-01"
"+","123456789/7294","Micro-elimination of HCV as a possible therapeutic strategy: Our experience and a review of literature","© 2020 Bojovic et al. Background: Serbia has an intermediate estimated prevalence of chronic hepatitis C (CHC) infection, approximately 1.13%, with hepatitis C remaining one of the leading causes of liver-related morbidity and mortality in Serbia with impaired quality of life and overwhelming cost of treating its complications As the availability of new treatment options and resources for screening remains limited, micro-elimination of CHC becomes a top priority. Methods: Review of the available published data related to the clinical and epidemiological situation of the hepatitis C infection in Serbia, including the unpublished data from the databases of four major reference centres in Serbia (Clinical Center Serbia, Clinical Center Niš, Clinical Center Vojvodina and Clinical Center Kragujevac). Results: Currently in Serbia, micro-elimination appears to be realistic in the patients with haemophilia, who represent a small, well-defined subpopulation, under constant monitoring by the healthcare system. Other feasible targets for micro-elimination of CHC infection in Serbia are patients on hemodialysis, prisoners and people who inject drugs. Conclusions: Micro-elimination is feasible in Serbia, especially in the subpopulation of patients with haemophilia. This may represent an initial step towards achieving the WHO objective to eliminate hepatitis C infection by 2030.","10.3855/jidc.11785","20366590","||Bojovic K.||Babić J.||Mijailovic Z.||Milosevic I.||Jovanovic M.||Ruzić M.||Pasic T.||Svorcan P.||Petrovic M.||Jordovic J.","Review","85081583371","2020-01-01"
"+","123456789/7294","Extended T(x) hysteresis model with magnetic anisotropy","© 2019 IEEE. The paper considers the possibility to extend a phenomenological hysteresis model to consider magnetic anisotropy of the material. The anisotropy effect is accounted by introducing modified values of some model parameters for different cutting angles.","10.1109/WZEE48932.2019.8979908","","||Stan Z.::0000-0002-4128-5490::600||Koprivica B.::0000-0001-5014-6866::600||Chwastek K.::0000-0002-2294-9976::600","Conference Paper","85081062512","2019-12-01"
"+","123456789/7294","The Mixture of Nanoparticles of RuO<inf>2</inf> and Pt Supported on Ti as an Efficient Catalyst for Direct Formic Acid Fuel Cell","© 2019, Pleiades Publishing, Ltd. Abstract: An active coating, composed of a mixture of nanocrystals of RuO2 with the rutile structure and nanocrystals of metal Pt, was thermally synthetized on a titanium substrate. Cyclic voltammograms and polarization curves showed that the catalytic activity of the coating for the formic acid oxidation in an acidic solution increased with an increase in the RuO2 content, reaching the maximum value at 50 mol % RuO2. Additionally, further increase in the RuO2 content resulted in a decline of the catalytic activity. The catalytic effect was attributed to a bifunctional mechanism and an electronic effect. The bifunctional mechanism had a dominant role and was based on the fact that Ru–OH species were formed on Ru atoms of RuO2 at more negative potentials than on Pt. Those species oxidized the adsorbed COad and HCOOad—species on adjacent Pt atoms of clusters of metal Pt and thus discharge them to oxidize new HCOOH molecules.","10.1134/S1023193519120164","10231935","||Miroslav Spasojević||Ribić-Zelenović L.||Spasojević M.||TriŠović T.::0000-0003-2400-5984::600","Article","85077214622","2019-12-01"
"+","123456789/7294","Effect of cytokines on NK cell activity and activating receptor expression in high-risk cutaneous melanoma patients","© 2019, JLE/Springer. Objective: Stage II melanoma patients have high risk for regional and distant metastases and may benefit from novel therapeutic strategies. To clarify the role of NK cells in Stage II melanoma, we characterized the cytotoxic activity of NK cells and the expression of various activating and inhibitory receptors in high-risk cutaneous melanoma patients (Stages IIB and IIC) compared to low-risk patients (Stage IA). Materials and Methods: Native and cytokine-treated peripheral blood mononuclear cells were used for functional and phenotypical analyses. Results: Compared to Stage IA-B patients, Stage IIB-C patients showed significantly decreased NK cell activity, as well as decreased expression of the activating NKG2D and CD161 receptors, most likely due to increased serum levels of the immunosuppressive cytokine TGF-β1 in these patients. Interestingly, treatment of periperal blood mononuclear cells with IFN-α, IL-2, IL-12 or the combination of IL-12 and IL-18 significantly induced NK cell activity for both groups of melanoma patients. However, only low-risk patients had a significant increase in the expression of the NKG2D receptor after in vitro treatment with IFN-α, as well as an significant increase in the expression of CD161 after treatment with IFN-α or IL-12. Although IL-2 induced the expression of NKG2D in both groups of patients, this increase was significantly lower in high-risk melanoma. Conclusion: NK cell parameters may be useful as biomarkers of disease progression in localized melanoma patients. Our results further suggest that the use of NK cell-activating cytokines in combination with inhibitors of immunosuppressive factors like TGF-β1 could be a therapeutic option for the treatment of high-risk cutaneous melanoma patients.","10.1684/ecn.2019.0440","11485493","||Martinović K.||Milićević M.||Larsen A.||Dzodić R.::0000-0002-3041-7339::600||Jurišić V.::0000-0001-6525-128X::600||Konjević G.||Vuletić A.","Article","85081001741","2019-12-01"
"+","123456789/7294","Numerical analysis of the IC engine working cycle with gaseous fuels (Compressed natural gas – CNG and hydrogen)","© 2019 SERSC. The reduction of oil reserves and ecological problems, are a threat the sustainability of IC engines. Alternative fuels can be very good way to maintain the existence of IC engines, as well as to reduce the emission of harmful components. The promising gaseous fuels are compressed natural gas – CNG and Hydrogen. Gaseous fuels are much better from the aspect of mixture formation and complete combustion. The simulation of the IC engine working cycle for these two fuels was performed by usage of ANSYS software package. In order to compare the results, the same boundary conditions were used in both analyses. Results have shown great differences in the working cycle for different fuels. The hydrogen as fuel gives better performances, but it can cause greater mechanical loads of the engine, as well as because of the high combustion temperatures it have tendency for nitrogen oxides NOx formation. It was concluded that is necessary to work on the optimization of injection and ignition parameters, in order to improve performances and emission for both fuels. It is not adequate to use the same parameters because of differences of chemical and physical characteristics of used fuels.","","20054238","||Grujic I.||Ghazaly N.::0000-0001-8460-4407::600||Stojanović N.::0000-0002-4199-0587::600","Article","85080115101","2019-11-21"
"+","123456789/7294","Influence of anthropometric dimensions on pedals activation force and on H-point position","© 2019 SERSC. Besides the design, nowadays buyers are very demanding when comfort is taken into question; all commands must be reachable and adapted to their physics. During the development of new vehicles, manufacturers must take into the consideration many factors to be competitive on the market. The anthropometric dimensions of the driver are playing very important role in the vehicle development. So car manufacturers have tendency to make the vehicle that is convenient for wide people population. The acting force on the vehicle commands depends from the user physics; also the vehicle must have the possibility to increase this force as many times is necessary, to maintain safe vehicle control, as well as to not disturb the safety of other traffic participants. The analysis is conducted for wide American male population (1 – 99%), by the application of the RAMSIS software package. It is found that by increasing the anthropometric dimensions the clutch pedal acting force decreases while joint loads are growing. Besides that the H-point determination is conducted in respect to the foot commands while the comfort is not disturbed.","","20054238","||Stojanović N.::0000-0002-4199-0587::600||Ghazaly N.::0000-0001-8460-4407::600||Grujic I.","Article","85081305707","2019-11-15"
"+","123456789/7294","Wells’ score in diagnosis of pulmonary embolism in patient with thrombocytopenia: A case report","© 2019, University of Kragujevac, Faculty of Science. All rights reserved. Current diagnostic workup of patients with suspected acute pulmonary embolism (PE) usually starts with the assessment of clinical pretest probability, using clinical prediction rules and plasma D-dimer measurement. Although an accurate diagnosis of acute pulmonary embolism (PE) in patients is thus of crucial importance, the diagnostic management of suspected PE is still challenging. A 60-year-old man with chest pain and expectoration of blood was admitted to the Department of Cardiology, General Hospital in Cuprija, Serbia. After physical examination and laboratory analyses, the diagnosis of Right side pleuropne monia and acute pulmonary embolism was established. Clinically, patient was hemodynamically stable, auscultative slightly weaker respiratory sound right basal, without pretibial edema. Laboratory: Creactive protein (CRP) 132.9 mg/L, Leukocytes (Le) 18.9x109/L, Erythrocytes (Er) 3.23x1012/L, Haemoglobin (Hgb) 113 g/L, Platelets (Plt) 79x109/L, D-dimer 35.2. On the third day after admission, D-dimer was increased and platelet count was decreased (Plt up to 62x109/L). According to Wells’ rules, score was 2.5 (without symptoms on admission), a normal clinical finding with clinical manifestation of hemoptysis and chest pain, which represents the intermediate level of clinical probability of PE. After the recidive of PE, Wells’ score was 6.5. In summary, this study suggests that Wells’ score, based on a patient’s risk for pulmonary embolism, is a valuable guidance for decision-making in combination with knowledge and experience of clinicians. Clinicians should use validated clinical prediction rules to estimate pretest probability in patients in whom acute PE is being consiered.","10.1515/SJECR-2017-0061","18208665","||Panic D.||Todorovic A.||Stanojević M.||Ćupić V.","Article","85082729569","2019-09-01"
"+","123456789/7294","Past, present, and future of global health financing: a review of development assistance, government, out-of-pocket, and other private spending on health for 195 countries, 1995–2050","© 2019 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license Background: Comprehensive and comparable estimates of health spending in each country are a key input for health policy and planning, and are necessary to support the achievement of national and international health goals. Previous studies have tracked past and projected future health spending until 2040 and shown that, with economic development, countries tend to spend more on health per capita, with a decreasing share of spending from development assistance and out-of-pocket sources. We aimed to characterise the past, present, and predicted future of global health spending, with an emphasis on equity in spending across countries. Methods: We estimated domestic health spending for 195 countries and territories from 1995 to 2016, split into three categories—government, out-of-pocket, and prepaid private health spending—and estimated development assistance for health (DAH) from 1990 to 2018. We estimated future scenarios of health spending using an ensemble of linear mixed-effects models with time series specifications to project domestic health spending from 2017 through 2050 and DAH from 2019 through 2050. Data were extracted from a broad set of sources tracking health spending and revenue, and were standardised and converted to inflation-adjusted 2018 US dollars. Incomplete or low-quality data were modelled and uncertainty was estimated, leading to a complete data series of total, government, prepaid private, and out-of-pocket health spending, and DAH. Estimates are reported in 2018 US dollars, 2018 purchasing-power parity-adjusted dollars, and as a percentage of gross domestic product. We used demographic decomposition methods to assess a set of factors associated with changes in government health spending between 1995 and 2016 and to examine evidence to support the theory of the health financing transition. We projected two alternative future scenarios based on higher government health spending to assess the potential ability of governments to generate more resources for health. Findings: Between 1995 and 2016, health spending grew at a rate of 4·00% (95% uncertainty interval 3·89–4·12) annually, although it grew slower in per capita terms (2·72% [2·61–2·84]) and increased by less than $1 per capita over this period in 22 of 195 countries. The highest annual growth rates in per capita health spending were observed in upper-middle-income countries (5·55% [5·18–5·95]), mainly due to growth in government health spending, and in lower-middle-income countries (3·71% [3·10–4·34]), mainly from DAH. Health spending globally reached $8·0 trillion (7·8–8·1) in 2016 (comprising 8·6% [8·4–8·7] of the global economy and $10·3 trillion [10·1–10·6] in purchasing-power parity-adjusted dollars), with a per capita spending of US$5252 (5184–5319) in high-income countries, $491 (461–524) in upper-middle-income countries, $81 (74–89) in lower-middle-income countries, and $40 (38–43) in low-income countries. In 2016, 0·4% (0·3–0·4) of health spending globally was in low-income countries, despite these countries comprising 10·0% of the global population. In 2018, the largest proportion of DAH targeted HIV/AIDS ($9·5 billion, 24·3% of total DAH), although spending on other infectious diseases (excluding tuberculosis and malaria) grew fastest from 2010 to 2018 (6·27% per year). The leading sources of DAH were the USA and private philanthropy (excluding corporate donations and the Bill & Melinda Gates Foundation). For the first time, we included estimates of China's contribution to DAH ($644·7 million in 2018). Globally, health spending is projected to increase to $15·0 trillion (14·0–16·0) by 2050 (reaching 9·4% [7·6–11·3] of the global economy and $21·3 trillion [19·8–23·1] in purchasing-power parity-adjusted dollars), but at a lower growth rate of 1·84% (1·68–2·02) annually, and with continuing disparities in spending between countries. In 2050, we estimate that 0·6% (0·6–0·7) of health spending will occur in currently low-income countries, despite these countries comprising an estimated 15·7% of the global population by 2050. The ratio between per capita health spending in high-income and low-income countries was 130·2 (122·9–136·9) in 2016 and is projected to remain at similar levels in 2050 (125·9 [113·7–138·1]). The decomposition analysis identified governments’ increased prioritisation of the health sector and economic development as the strongest factors associated with increases in government health spending globally. Future government health spending scenarios suggest that, with greater prioritisation of the health sector and increased government spending, health spending per capita could more than double, with greater impacts in countries that currently have the lowest levels of government health spending. Interpretation: Financing for global health has increased steadily over the past two decades and is projected to continue increasing in the future, although at a slower pace of growth and with persistent disparities in per-capita health spending between countries. Out-of-pocket spending is projected to remain substantial outside of high-income countries. Many low-income countries are expected to remain dependent on development assistance, although with greater government spending, larger investments in health are feasible. In the absence of sustained new investments in health, increasing efficiency in health spending is essential to meet global health targets. Funding: Bill & Melinda Gates Foundation.","10.1016/S0140-6736(19)30841-4","01406736","||Chang A.||Cowling K.::0000-0003-2489-5390::600||Micah A.||Chapin A.||Chen C.||Ikilezi G.||Sadat N.||Tsakalos G.||Wu J.||Younker T.||Zhao Y.||Zlavog B.||Abbafati C.||Ahmed A.||Alam K.||Alipour V.||Aljunid S.::0000-0002-0380-1335::600||Almalki M.||Álvis-Guzmán N.::0000-0001-9458-864X::600||Ammar W.||Andrei C.||Anjomshoa M.||Antonio C.::0000-0001-7476-0553::600||Arabloo J.||Aremu O.||Ausloos M.||ávila Burgos L.||Awasthi A.::0000-0002-9308-9782::600||Ayanore M.::0000-0002-4095-3047::600||Azari S.||Azzopardi Muscat N.::0000-0002-9771-2770::600||Bagherzadeh M.::0000-0002-5395-9966::600||Bärnighausen T.||Baune B.||Bayati M.::0000-0002-9118-5447::600||Belay Y.||Belay Y.||Belete H.||Berbada D.||Berman A.::0000-0002-9023-1130::600||Beuran M.||Ali B.::0000-0003-2233-8726::600||Busse R.::0000-0003-4961-9130::600||Cahuana-Hurtado L.::0000-0002-9438-1443::600||Camera L.||Catalá-López F.||Chauhan B.||Constantin M.||Crowe C.||Cucu A.::0000-0001-5646-5999::600||Dalal K.::0000-0001-7393-796X::600||de Neve J.::0000-0003-0090-8249::600||Deiparine S.||Demeke F.||Do H.::0000-0003-0461-7529::600||Dubey M.||Tantawi M.::0000-0003-4989-6584::600||Eskandarieh S.||Esmaeili R.||Fakhar M.::0000-0002-5419-6219::600||Fazaeli A.::0000-0002-6667-0344::600||Fischer F.||Foigt N.||Fukumoto T.||Fullman N.||Galan A.||Gamkrelidze A.||Gezae K.||Ghajar A.||Ghashghaee A.::0000-0002-3607-666X::600||Goginashvili K.||Haakenstad A.||Bidgoli H.||Htet A.::0000-0002-6766-3728::600||Harb H.||Hasanpoor E.::0000-0002-5155-2679::600||Hassen H.::0000-0001-6485-4193::600||Hay S.::0000-0002-0611-7272::600||Hendrie D.||Henok A.||Heredia-Pi I.::0000-0002-9998-9239::600||Herteliu C.::0000-0001-8860-9547::600||Hoang C.||Hole M.||Rad E.::0000-0002-9064-0380::600||Hossain N.||Hosseinzadeh M.||Hostiuc S.::0000-0003-4130-9402::600||Ilesanmi O.::0000-0003-0827-6442::600||Irvani S.::0000-0002-4566-7402::600||Jakovljevic M.::0000-0002-9160-6846::600||Jalali A.::0000-0002-0307-879X::600||James S.||Jonas J.||Jurisson M.::0000-0002-4487-7045::600||Kadel R.::0000-0002-2547-6342::600||Matin B.||Kasaeian A.||Kebebe H.::0000-0003-3759-2604::600||Kassaw M.","Article","85065127995","2019-06-01"
"+","123456789/7294","A diesel engine performance measurement with diesel fuel and biodiesel","© 2019 Society of Thermal Engineers of Serbia. Rapid growth in the energy consumption has conditioned the need for discovering the alternative energy resources which would be adapted to the existing engine constructions and which would satisfy the additional criteria related to the renewability, ecology, and reliability of use. The experimental research are conducted according to the (European Stationary Cycle-Directive 1999/96/EC) 13-mode. Using biodiesel fuel average thermal efficiency is kept at the level of the application of conventional diesel fuel, average emission of CO is reduced by 13.6%, average emission of NO is increased by x 27.6%, average emission of hydrocarbon is increased by 59.4%, and average particles emission is reduced by 43.2%.","10.2298/TSCI180211412P","03549836","||Pešić R.::0000-0002-9669-1744::600||Davinić A.","Article","85083108422","2019-01-01"
"+","123456789/7294","The biology and t heories of aging","Copyright: © 2016 by Fabrizio Serra editore, Pisa · Roma. Aging is a natural, time-dependent process characterized by irreversible changes in the molecules, cells, tissues, and organs. It occurs as a result of cumulative damage at different levels of the organization, in particular by damaging proteins and DNA. There is no single definition, nor a unique attitude about when and how age arises and what are its causes. The process is extremely complex and most likely a consequence of the effects of different mechanisms (not only genetic but also acquired) that lead to disrupt homeostasis, reduce stress resistance and the more frequent occurrence of the disease. There are many classifications of theories about aging and they often contradict one another. No one theory is sufficiently able to explain the process of aging. The aim of this work is to analyze the different aspects, main characteristics of the aging, individual differences in the speed of this process and theories about the mechanisms of aging.","10.19272/201911402006","00356050","||Stanić S.||Matic S.::0000-0003-4570-4370::600","Article","85081086466","2019-01-01"
"+","123456789/7294","Thermal and rheological properties of unsaturated polyester resins-based composites","© 2019 Elsevier Inc. All rights reserved. Unsaturated polyester resins (UPR) are among the most commercially important thermosetting matrix materials for composites. This chapter summarizes the importance of the thermal and rheological properties of UPR. The kinetics and mechanisms of thermal degradation (for both inert and reactive atmospheres) are presented. A little information about the toxicity of the major thermal degradation products is given. The main parameters affecting thermal stability (prepolymer structure, styrene content, cure regime, fillers, and reinforcements) are summarized. A comprehensive study of the methods of improving thermal stability and flame retardancy with a special emphasis on nonhalogenated flame retardants is presented. Bearing in mind that the rheological characteristics of UPR govern and limit their usage potential, a comprehensive study of the parameters affecting the viscosity of UPR composites (thickening and thixotropic agents, low profile additives, fillers, and reinforcements) is presented. Also, briefly introduced and described are the main processing techniques with special emphasis on the rheological requirements for each technique. Finally, some rheological concerns and challenges for the development of fully bio-based UPRs are described.","10.1016/B978-0-12-816129-6.00015-6","","||Spasojević P.","Chapter","85082618198","2019-01-01"
"+","123456789/7294","Early prediction of student success based on data mining and artificial neural network","© Springer Nature Switzerland AG 2019. This paper presents an overview of the research related to the prediction of the success of the participants in the Technical Drawing course. In order to determine the student’s success, a data mining model was created supported by artificial intelligence. The proposed model gives an overview of the input data on the basis of which it is possible to determine the success of the student’s using artificial neural networks. The results of the prediction give a presentation of the performance of students at the beginning of the course, which gives professors enough time to influence the students and encourage them.","10.1007/978-3-030-37429-7_3","03029743","||Bursać M.||Blagojevic M.::0000-0003-4186-0448::600||Milošević D.","Conference Paper","85081917193","2019-01-01"
"+","123456789/7294","Some new bounds on randić energy","© 2019 University of Kragujevac, Faculty of Science. Let G = (V,E) be a simple graph of order n with vertex set V = V (G) = [v1, v2, ..., vn] and edge set E = E(G). Let di be the degree of the vertex vi in G for i = 1, 2, ..., n. The eigenvalues of matrix R, denoted by ρ1, ρ2, ..., ρn, are called the Randić eigenvalues of graph G. The Randic energy of graph G, denoted by RE. In this paper we establish some new upper and lower bounds on Randic energy.","","14509628","||Zogić E.||Borovićanin B.::0000-0003-1443-120X::600","Article","85081313248","2019-01-01"
"+","123456789/7294","Multivariate analysis as a reliable tool for segregating strawberry cultivars with the best antioxidant capacity","© 2019, Hohere Bundeslehranstalt und Bundesamt fur Wein- und Obstbau Klosterneuburg. All rights reserved. During 2018 and 2019 we ad hoc investigated fruit weight, chemical composition and antioxidant activity of five strawberry cultivars ('Irma' as a day-neutral cultivar, and 'Clery', 'Roxana' 'Asia' and an 'Unknown' genotype as short-day strawberries). By ANOVA and multivariate analysis (PCA), differences were observed between cultivars based on the fruit weight, contents of soluble solids, acidity, maturity indexes, main phenolic compounds and antioxidant activity. Results showed that 'Roxana' had the largest fruit at the same growing and environmental conditions. The highest soluble solids content (SSC), acidity and ripening and taste indexes, phenolic compounds had 'Clery' and 'Asia', respectively. 'Asia' is the cultivar with the highest antioxidant capacity. The poorest evaluated properties were shown by the 'Unknown' genotype, followed by 'Irma'. Season (year) had more influence on fruit weight, acidity, phenolic compounds and antioxidant activity whereas effect on other properties was not significant. Interaction cultivar x year had significant effect on all evaluated properties with exception of fruit weight. Correlation matrix indicated significant positive or negative correlations between most primary and secondary metabolites in fruit of strawberries. Principal component analysis (PCA) can be a very good tool for segregating strawberry genotypes with the best nutritional value and health promoting compounds.","","00075922","||Miloševič T.||Miloševič N.||Mladenović J.","Article","85081002906","2019-01-01"
"+","123456789/7294","Impact of fertilization on the antioxidant activity and mineral composition of red raspberry berries of cv. 'meeker'","© 2019, Hohere Bundeslehranstalt und Bundesamt fur Wein- und Obstbau Klosterneuburg. All rights reserved. The present study focused on the influence of organic, organo-mineral and mineral fertilizers on berry quality attributes (contents of total anthocyanins, cyanidin-3-sophoroside, cyanidin-3-glucorutinoside and macro-and microele-ments, total antioxidant capacity and DPPH scavenging activity) of cv. 'Meeker' red raspberry during three consecutive years under western Serbian conditions. We used organo-mineral pelleted NPK fertilizer commercially named 'Excell Orga' (Excell), soluble crystalline complex fertilizer commercially named 'Scotts Solinure 1' (Scotts), water-so-luble granulated compound fertilizer commercially named 'Multi Comp Base' (MCB), well-rotted cattle manure as an organic fertilizer and control (without fertilization). Obtained results showed that secondary metabolites and mineral elements evaluated in berries significantly varied between fertilizers application and between years, respectively. Among fertilizers, the best impact on properties investigated was found with MCB and Scotts. The weakest effect on properties investigated was found with Excell and cattle manure application, but the effect was stronger than with the control treatment. The best values of properties evaluated were achieved in the rainy year 2014. However, in most cases the interaction fertilizer x year was significant confirming the complex nature of accumulation of bioactive compounds and minerals in berries and behavior of fertilizers through seasons.","","00075922","||Stojanov D.||Miloševič T.||Mašković P.::0000-0001-7566-2840::600||Miloševič N.","Article","85080994366","2019-01-01"
"+","123456789/7294","Behavior of some cultivars of apricot (Prunus armeniaca l.) on different rootstocks","© 2019, Hohere Bundeslehranstalt und Bundesamt fur Wein- und Obstbau Klosterneuburg. All rights reserved. The trial was conducted in Prislonica village near Čačak (western Serbia) from 2011 to 2017 in order to determine the impact of Myrobalan (vigorous), St. Julien A (semi-vigorous) and Pumiselect (dwarfing) rootstocks on tree growth, productivity and main fruit physico-chemical traits of three newly-bred Serbian apricot genotypes grown under dry, sandy-loam and acidic soil conditions. Tree survival was registered from 2011 to 2018. The orchard was established in autumn 2011 at a 5.5 m × 3 m planting distance. Apricots on Myrobalan had strong growth, lower yield and poorest fruit quality traits in most cases in comparison to St. Julien A and Pumiselect. Pumiselect showed a good capacity to reduce tree growth, increased yield, fruit weight, flesh rate, soluble solids content and ripening index. St. Julien A exhibited similar influences as Pumiselect. In the case of genotypes, 'Novosadska Rodna' had higher vigour, lower yield, better physical, but poorest chemical properties of fruit in comparison to 'NS 4' and 'NS 6' genotypes. The best yield traits were determined with 'NS 4', whereas the best fruit chemical properties were found in 'NS 6'. Tree mortality depended on rootstock, but also on genotype. By 2018, 56 %, 18 % and 40 % of the trees on Pumiselect, St. Julien A and Myrobalan, respectively, had died. In the case of genotypes, until 2018 'Novosadska Rodna' showed 64 %, 'NS 4' 79 % and 'NS 6' only 43 % survival on all rootstocks on average.","","00075922","||Miloševič T.||Miloševič N.","Article","85080990541","2019-01-01"
"+","123456789/7294","Assay of polyphenols in montenegrin vranac wines","© 2019, Hohere Bundeslehranstalt und Bundesamt fur Wein- und Obstbau Klosterneuburg. All rights reserved. The present paper results from a study on the polyphenols content of commercial wines from the Montenegrin variety 'Vranac', obtained from different localities, studied during three consecutive vintages, using spectrophotometric methodologies. During the three years under study, the commercial wines from the variety 'Vranac' reported a total polyphenols content varying from 1634 mg/l to 2722 mg/l. Total anthocyanins contents varied between 439 and 586 mg/l, while cathechins contents ranged from 230 to 307 mg/l. The vintage year caused variance in the data obtained. While only small variances were verified in the vintages of 2008 and 2009, considerable variations were observed in 2010. For instance, anthocyanins contents were lower and cathechins contents increased. Such variations could be ascribed to the edaphoclimatic conditions in each specific year. From the results obtained, it was possible to group the wines according to vintage year, and only one commercial wine remained separated from the other wines, due to its consistent composition during this three-year study. These results obtained from PCA, allow the conclusion that vintage years cause higher differentiation in the wines' composition than their cultivation site.","","00075922","||Šćepanović R.||Madžgalj V.||Vukoslavljević V.","Article","85069517273","2019-01-01"
"+","123456789/7294","Usability testing of a smartphone telecare application for informal caregivers","© Springer Nature Switzerland AG 2019. Independent living of the elderly has its risks that can be decreased with the use of telecare systems. Smartphone telecare applications such as TeleStiki, are intended primarily for informal carers of independently living elders. The application is aimed at improving quality of life of both the elderly and their caregivers by reducing the caregiver burden and extending the time elders stay at home, while also increasing their safety. The aim of usability testing was to evaluate if users perceive the tested smartphone application as high in usability and user experience. The testing was also aimed at evaluating whether the use of application affects their attitude towards the use of telecare applications for informal care of their elderly relatives in general. In this study Task Completion, User Experience Questionnaire and System Usability Scale, as well as the Think-Aloud protocol has been performed. Results showed the application scores above average in usability and user experience. Findings gained in the qualitative study can be used as guidelines for future re-designs of the application and for improvement of usability in similar applications.","10.1007/978-3-030-37429-7_25","03029743","||Držanič I.||Mladenovic V.::0000-0001-8530-2312::600||Debevc M.||Dolnicar V.||Petrovcic A.::0000-0002-6401-524X::600||Touzery S.||Kožuh I.::0000-0001-7875-5583::600","Conference Paper","85081919726","2019-01-01"
